Designator,Mid X,Mid Y,Rotation,Layer
C242,215.7412,-79.7292,180.0,top
C243,211.4912,-79.7292,180.0,top
C244,207.2412,-79.7292,180.0,top
C245,202.9912,-79.7292,180.0,top
C246,198.7412,-79.7292,180.0,top
C247,194.4912,-79.7292,180.0,top
C248,190.2412,-79.7292,180.0,top
C249,185.9912,-79.7292,180.0,top
C25,129.5,-87.7,270.0,bottom
C250,181.7412,-79.7292,180.0,top
C251,177.4912,-79.7292,180.0,top
C252,173.2412,-79.7292,180.0,top
C253,168.9912,-79.7292,180.0,top
C254,164.7412,-79.7292,180.0,top
C255,245.4912,-75.4792,180.0,top
C256,241.2412,-75.4792,180.0,top
C257,236.9912,-75.4792,180.0,top
C258,232.7412,-75.479199,180.0,top
C259,228.491201,-75.4792,180.0,top
C26,146.99,-80.01,90.0,bottom
C260,224.2412,-75.4792,180.0,top
C261,219.9912,-75.4792,180.0,top
C262,215.7412,-75.4792,180.0,top
C263,211.491199,-75.4792,180.0,top
C264,207.2412,-75.479199,180.0,top
C265,202.9912,-75.4792,180.0,top
C266,198.7412,-75.4792,180.0,top
C267,194.4912,-75.4792,180.0,top
C268,190.2412,-75.4792,180.0,top
C269,185.9912,-75.479199,180.0,top
C27,127.36,-85.09,90.0,bottom
C270,181.741201,-75.4792,180.0,top
C271,177.4912,-75.4792,180.0,top
C272,173.2412,-75.4792,180.0,top
C273,168.9912,-75.4792,180.0,top
C274,164.7412,-75.4792,180.0,top
C275,245.4912,-71.2292,180.0,top
C276,241.2412,-71.2292,180.0,top
C277,236.9912,-71.2292,180.0,top
C278,232.7412,-71.229201,180.0,top
C279,228.491201,-71.2292,180.0,top
C28,145.35,-72.84,90.0,bottom
C280,224.2412,-71.2292,180.0,top
C281,219.9912,-71.2292,180.0,top
C282,215.7412,-71.2292,180.0,top
C283,211.491199,-71.2292,180.0,top
C284,207.2412,-71.229201,180.0,top
C285,202.9912,-71.2292,180.0,top
C286,198.7412,-71.2292,180.0,top
C287,194.4912,-71.2292,180.0,top
C288,190.2412,-71.2292,180.0,top
C289,185.9912,-71.229201,180.0,top
C29,147.95,-83.3,270.0,bottom
C290,181.741201,-71.2292,180.0,top
C291,177.4912,-71.2292,180.0,top
C292,173.2412,-71.2292,180.0,top
C293,168.9912,-71.2292,180.0,top
C294,164.7412,-71.2292,180.0,top
C295,245.4912,-66.9792,180.0,top
